City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vermilion,US,79.39,scattered clouds,40.1667,-87.7506,Sparkling Springs Cabin
5,Kolaras,IN,76.23,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
10,Butaritari,KI,83.08,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Yantai,CN,82.8,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
12,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
13,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
25,Dandong,CN,86.02,overcast clouds,40.1292,124.3947,Yiranju Farmstay
26,Batticaloa,LK,83.53,broken clouds,7.7102,81.6924,Grand Star Guest House
38,Atuona,PF,77.4,overcast clouds,-9.8,-139.0333,Villa Enata
39,Thompson,CA,80.76,smoke,55.7435,-97.8558,Burntwood Hotel
49,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
57,Bambanglipuro,ID,82.44,clear sky,-7.95,110.2833,Puri Brata
62,Fairbanks,US,82.4,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
64,Samarai,PG,79.75,broken clouds,-10.6167,150.6667,Nuli Sapi
68,Kapaa,US,87.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Buayan,PH,85.12,scattered clouds,6.1164,125.2347,Roy's Townhouse
80,Mayo,US,75.61,clear sky,38.8876,-76.5119,Resorts Resource Group International
83,Nicoya,CR,80.15,moderate rain,10.1483,-85.452,Guayacan Real
84,Dingle,PH,84.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
89,Sabang,ID,83.43,overcast clouds,5.8933,95.3214,Hotel Citra
94,Lake City,US,84.0,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
104,Palu,ID,88.29,broken clouds,-0.8917,119.8707,Hotel Santika Palu
109,Shimoda,JP,80.96,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
115,Westport,US,77.14,clear sky,41.1415,-73.3579,The Westport Inn
119,Qui Nhon,VN,83.14,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
120,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
126,Meulaboh,ID,80.94,scattered clouds,4.1363,96.1285,Kost Pria
129,Huilong,CN,84.97,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
132,Annau,TM,78.3,clear sky,37.8876,58.516,Buzmein Sokak
136,Autazes,BR,79.32,broken clouds,-3.5797,-59.1306,Apart hotel Tupinambá
138,Port Blair,IN,83.3,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
142,Suruc,TR,84.4,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
143,Buala,SB,84.9,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
144,Goranboy,AZ,75.49,scattered clouds,40.6103,46.7897,Qala Hotel
145,Hovd,MN,78.58,overcast clouds,48.0056,91.6419,Hotel Khovd
149,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
150,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
154,Hobyo,SO,76.82,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
156,Half Moon Bay,US,81.72,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
157,Tukrah,LY,77.29,clear sky,32.5341,20.5791,Lokta restaurant
160,Nakusp,CA,77.34,clear sky,50.2499,-117.8023,Riders Retreat
165,Victoria,HK,89.26,broken clouds,22.2855,114.1577,Mini Hotel Central
167,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
168,Chauk,MM,80.49,overcast clouds,20.8833,94.8167,Bo Khin Guest House
169,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
171,Cockburn Town,TC,81.88,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
173,Kamaishi,JP,79.75,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
178,Ano Mera,GR,78.66,clear sky,37.45,25.4,Hotel La Résidence Mykonos
180,Ban Dung,TH,80.22,light rain,17.699,103.2596,Heuan Na Khee
182,Preobrazheniye,RU,84.15,clear sky,42.9019,133.9064,Campsite Orlan
183,Dicabisagan,PH,88.86,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
184,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
186,Hithadhoo,MV,81.21,overcast clouds,-0.6,73.0833,Scoop Guest House
187,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
188,Natal,BR,75.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
190,Huangpi,CN,84.31,clear sky,30.8845,114.3779,Xinxing Lidu Hotel
191,West Wendover,US,83.41,scattered clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
194,Sao Miguel Do Araguaia,BR,77.05,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
197,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
198,Saint George,US,88.27,thunderstorm,37.1041,-113.5841,Best Western Plus Abbey Inn
200,Jacareacanga,BR,80.13,broken clouds,-6.2222,-57.7528,Casa do Ian😎
201,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
203,Fuling,CN,87.22,scattered clouds,29.7022,107.3919,Yingbin Hostel
