City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,46.11,79,0,1.01,clear sky
1,Lavrentiya,RU,65.5833,-171.0,43.45,81,100,2.33,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,73.76,73,1,19.73,light rain
3,Vermilion,US,40.1667,-87.7506,79.39,88,40,4.61,scattered clouds
4,Lasa,IT,46.6166,10.7002,65.28,85,0,3.36,clear sky
5,Kolaras,IN,25.2333,77.6,76.23,90,100,4.03,overcast clouds
6,Paamiut,GL,61.994,-49.6678,42.01,93,100,2.64,overcast clouds
7,Dikson,RU,73.5069,80.5464,38.35,95,99,18.21,overcast clouds
8,Adrar,MR,20.5022,-10.0711,86.65,16,7,8.99,clear sky
9,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.53,overcast clouds
10,Butaritari,KI,3.0707,172.7902,83.08,77,100,15.79,light rain
11,Yantai,CN,37.5333,121.4,82.8,65,100,2.44,overcast clouds
12,Georgetown,MY,5.4112,100.3354,85.89,74,20,1.99,few clouds
13,Cayenne,GF,4.9333,-52.3333,79.09,86,20,2.3,few clouds
14,New Norfolk,AU,-42.7826,147.0587,55.92,56,30,4.0,scattered clouds
15,Eskisehir,TR,39.7767,30.5206,60.71,72,20,8.05,few clouds
16,Chuy,UY,-33.6971,-53.4616,49.95,78,95,6.08,light rain
17,Bluff,NZ,-46.6,168.3333,50.81,64,84,10.56,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,42.12,93,100,3.44,overcast clouds
19,Faya,SA,18.3851,42.4509,57.72,85,100,6.44,overcast clouds
20,Lagoa,PT,39.05,-27.9833,67.66,78,29,11.34,scattered clouds
21,Jamestown,US,42.097,-79.2353,65.79,67,1,1.95,clear sky
22,Hermanus,ZA,-34.4187,19.2345,42.91,73,69,9.95,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,11.5,scattered clouds
24,Sayyan,YE,15.1718,44.3244,58.3,83,99,8.43,overcast clouds
25,Dandong,CN,40.1292,124.3947,86.02,64,100,2.37,overcast clouds
26,Batticaloa,LK,7.7102,81.6924,83.53,59,60,14.43,broken clouds
27,East London,ZA,-33.0153,27.9116,52.41,70,96,20.13,light rain
28,Airai,TL,-8.9266,125.4092,74.14,24,10,2.89,clear sky
29,Talnakh,RU,69.4865,88.3972,58.24,65,100,4.81,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,52.07,69,89,20.87,light rain
