City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,64.3833,-173.3,43.34,81,100,2.13,overcast clouds
1,Busselton,-33.65,115.3333,54.09,75,100,20.56,overcast clouds
2,Dogondoutchi,13.6393,4.0287,93.29,38,79,4.18,broken clouds
3,Bouar,5.934,15.596,65.97,93,100,1.97,overcast clouds
4,Kajiado,-1.8524,36.7768,66.92,73,1,10.71,clear sky
5,Avarua,-21.2078,-159.775,73.45,94,20,4.61,few clouds
6,Qaanaaq,77.484,-69.3632,45.14,65,62,1.97,broken clouds
7,Uruzgan,32.8333,66.0,75.56,19,1,1.83,clear sky
8,Pringsewu,-5.3582,104.9744,73.6,98,80,3.15,broken clouds
9,Grindavik,63.8424,-22.4338,51.96,98,100,18.03,overcast clouds
10,Rikitea,-23.1203,-134.9692,73.33,72,3,18.59,clear sky
11,Albany,42.6001,-73.9662,79.79,51,98,1.01,overcast clouds
12,Hobart,-42.8794,147.3294,51.26,64,75,3.0,broken clouds
13,Ushuaia,-54.8,-68.3,42.46,75,75,17.27,light rain
14,Port Augusta,-32.5,137.7667,48.7,87,47,11.77,scattered clouds
15,Torbay,47.6666,-52.7314,54.37,95,90,11.5,mist
16,Malanville,11.8685,3.3899,86.16,51,65,9.57,broken clouds
17,Airai,-8.9266,125.4092,54.75,44,5,2.44,clear sky
18,Mataura,-46.1927,168.8643,39.47,97,14,3.27,few clouds
19,Cape Town,-33.9258,18.4232,49.1,75,0,6.91,clear sky
20,Svetlogorsk,52.6333,29.7333,60.12,64,0,7.36,clear sky
21,Jamestown,42.097,-79.2353,73.18,52,1,5.01,clear sky
22,Severo-Kurilsk,50.6789,156.125,50.54,92,73,1.79,broken clouds
23,Kropotkin,45.4375,40.5756,69.66,80,2,11.21,clear sky
24,Richards Bay,-28.783,32.0377,62.46,35,1,16.8,clear sky
25,Vao,-22.6667,167.4833,69.3,70,4,7.0,clear sky
26,Sapele,5.8941,5.6767,76.1,83,100,4.25,overcast clouds
27,Beringovskiy,63.05,179.3167,47.68,87,45,4.05,scattered clouds
28,Ancud,-41.8697,-73.8203,56.73,96,100,12.08,light rain
29,Puerto Ayora,-0.7393,-90.3518,80.56,89,93,7.0,overcast clouds
30,Arraial Do Cabo,-22.9661,-42.0278,76.96,53,0,9.22,clear sky
31,Atuona,-9.8,-139.0333,77.47,70,88,11.48,overcast clouds
32,Tasiilaq,65.6145,-37.6368,42.96,96,100,9.08,light rain
33,New Norfolk,-42.7826,147.0587,45.45,76,100,4.61,overcast clouds
34,Semnan,35.5729,53.3971,88.72,18,35,7.09,scattered clouds
35,Upernavik,72.7868,-56.1549,39.9,95,100,2.01,overcast clouds
36,Tres Arroyos,-38.3739,-60.2798,63.81,41,100,11.83,overcast clouds
37,Varhaug,58.6147,5.6457,62.78,85,12,23.58,few clouds
38,Vaini,-21.2,-175.2,71.76,94,20,5.75,few clouds
39,Niksar,40.5917,36.9517,68.9,87,91,3.24,overcast clouds
40,Inongo,-1.95,18.2667,76.12,40,26,3.15,scattered clouds
41,Punta Arenas,-53.15,-70.9167,42.42,64,50,15.82,scattered clouds
42,Hermanus,-34.4187,19.2345,46.9,75,42,8.72,scattered clouds
43,Yellowknife,62.456,-114.3525,66.72,72,75,10.36,smoke
44,Umm Lajj,25.0213,37.2685,87.17,64,1,6.69,clear sky
45,Goure,13.9835,10.2704,92.25,38,84,11.05,broken clouds
46,Urengoy,65.9667,78.3667,55.72,65,100,6.46,overcast clouds
47,Kavieng,-2.5744,150.7967,81.97,79,94,14.03,light rain
48,East London,-33.0153,27.9116,50.94,62,40,20.71,light rain
49,Cockburn Town,21.4612,-71.1419,87.76,62,40,12.66,scattered clouds
50,Thompson,55.7435,-97.8558,78.96,57,20,9.22,smoke
51,Kaduna,10.5222,7.4383,72.37,90,100,6.26,overcast clouds
52,Port Hardy,50.6996,-127.4199,57.38,88,75,11.5,broken clouds
53,Achacachi,-16.05,-68.6833,51.33,46,24,12.26,few clouds
54,Lasa,46.6166,10.7002,68.88,81,19,0.56,few clouds
55,Conceicao Do Araguaia,-8.2578,-49.2647,93.33,33,0,9.22,clear sky
56,Tahe,52.3333,124.7333,67.1,99,63,3.47,broken clouds
57,Katsuura,35.1333,140.3,76.62,83,22,2.57,few clouds
58,Kodinsk,58.6881,99.1844,53.46,96,9,2.93,clear sky
59,Padang,-0.9492,100.3543,76.86,84,100,3.38,overcast clouds
60,Hilo,19.7297,-155.09,84.27,88,90,6.91,light rain
61,Ponta Do Sol,32.6667,-17.1,74.75,84,14,5.37,few clouds
62,Saldanha,-33.0117,17.9442,46.45,67,77,15.41,broken clouds
63,Codrington,-38.2667,141.9667,41.49,96,100,10.11,overcast clouds
64,Yenagoa,4.9247,6.2642,75.92,88,100,5.91,light rain
65,Hualmay,-11.0964,-77.6139,68.07,71,17,10.36,few clouds
66,Vigeland,58.0844,7.305,75.29,75,0,10.49,clear sky
67,Port Alfred,-33.5906,26.891,53.06,65,100,28.07,light rain
68,Alice Springs,-23.7,133.8833,54.95,44,6,6.91,clear sky
69,Iqaluit,63.7506,-68.5145,51.53,76,90,15.99,overcast clouds
70,Mestia,43.0458,42.7278,60.76,97,100,1.74,overcast clouds
71,Sibolga,1.7427,98.7792,76.75,85,99,3.27,overcast clouds
72,Bajil,15.0584,43.2851,84.83,65,100,13.44,overcast clouds
73,Chemal,51.4111,86.005,67.15,96,100,2.04,overcast clouds
74,Anloga,5.7947,0.8973,79.02,80,86,12.75,overcast clouds
75,Hambantota,6.1241,81.1185,80.94,89,20,6.91,few clouds
76,Margate,51.3813,1.3862,68.72,70,3,1.99,clear sky
77,Zyryanka,65.75,150.85,55.08,88,100,11.59,overcast clouds
78,Ambilobe,-13.2,49.05,65.79,68,0,4.03,clear sky
79,Saint-Denis,48.9167,2.3333,82.22,45,0,8.05,clear sky
80,Morehead,37.2711,-87.1764,87.84,63,75,1.01,broken clouds
81,Cidreira,-30.1811,-50.2056,60.73,72,1,12.71,clear sky
82,Alugan,12.2188,125.4808,81.93,72,100,14.0,overcast clouds
83,Talnakh,69.4865,88.3972,56.48,87,100,7.29,overcast clouds
84,Bluff,-46.6,168.3333,39.79,83,45,11.7,scattered clouds
85,Belmonte,-15.8631,-38.8828,80.6,70,70,12.26,broken clouds
86,Mahebourg,-20.4081,57.7,70.25,77,75,11.5,broken clouds
87,Kapaa,22.0752,-159.319,79.12,81,75,1.01,light rain
88,Ribeira Grande,38.5167,-28.7,68.9,71,0,10.87,clear sky
89,Klaksvik,62.2266,-6.589,52.72,95,92,3.83,overcast clouds
90,Castro,-24.7911,-50.0119,65.39,46,0,5.39,clear sky
91,Puerto Carreno,6.189,-67.4859,82.92,75,67,8.14,broken clouds
92,Chuy,-33.6971,-53.4616,57.27,68,100,4.99,overcast clouds
93,Pohrebyshche,49.4864,29.2636,59.74,73,1,6.85,clear sky
94,Zaysan,47.4667,84.8667,71.55,47,100,4.03,overcast clouds
95,Butaritari,3.0707,172.7902,83.25,75,19,17.05,light rain
96,Poli,-3.3333,36.8,61.07,79,56,5.57,broken clouds
