City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Torbay,CA,2021-07-21 13:00:05,47.6666,-52.7314,68.88,95,75,6.91
1,Yellowknife,CA,2021-07-21 13:00:07,62.456,-114.3525,62.29,82,66,5.99
2,Jamestown,US,2021-07-21 13:00:08,42.097,-79.2353,67.32,92,90,3.0
3,Morondava,MG,2021-07-21 13:00:11,-20.2833,44.2833,78.71,67,1,12.71
4,Katsuura,JP,2021-07-21 13:00:12,35.1333,140.3,82.11,88,9,5.91
5,Port-Gentil,GA,2021-07-21 13:00:13,-0.7193,8.7815,75.67,81,96,13.96
6,Hilo,US,2021-07-21 13:00:13,19.7297,-155.09,72.81,89,100,2.68
7,Vilcun,CL,2021-07-21 13:00:14,-38.65,-72.2333,45.64,83,100,2.39
8,Busselton,AU,2021-07-21 13:00:15,-33.65,115.3333,51.08,81,88,9.17
9,Yeppoon,AU,2021-07-21 13:00:16,-23.1333,150.7333,53.38,45,0,11.34
10,Chinhoyi,ZW,2021-07-21 13:00:17,-17.3667,30.2,78.75,23,0,6.24
11,Thompson,CA,2021-07-21 12:57:48,55.7435,-97.8558,57.36,88,75,0.0
12,Bredasdorp,ZA,2021-07-21 13:00:17,-34.5322,20.0403,48.27,79,100,22.57
13,Cidreira,BR,2021-07-21 13:00:18,-30.1811,-50.2056,54.48,57,0,9.53
14,East London,ZA,2021-07-21 13:00:19,-33.0153,27.9116,65.34,19,0,16.11
15,Chokurdakh,RU,2021-07-21 12:55:39,70.6333,147.9167,44.78,78,42,6.69
16,El Tigre,VE,2021-07-21 13:00:20,8.8875,-64.2454,79.48,69,46,12.73
17,Ugoofaaru,MV,2021-07-21 13:00:21,5.6667,73.0,83.44,75,100,15.59
18,Puerto Carreno,CO,2021-07-21 12:58:20,6.189,-67.4859,76.32,88,100,3.8
19,Rikitea,PF,2021-07-21 13:00:22,-23.1203,-134.9692,70.07,71,100,18.81
20,Gigmoto,PH,2021-07-21 13:00:23,13.7796,124.39,81.99,84,100,8.75
21,Maldonado,UY,2021-07-21 12:58:27,-34.6667,-54.9167,50.23,61,8,5.57
22,Tabou,CI,2021-07-21 13:00:24,4.423,-7.3528,79.36,68,100,6.98
23,Qaanaaq,GL,2021-07-21 13:00:25,77.484,-69.3632,36.45,99,100,12.26
24,Arraial Do Cabo,BR,2021-07-21 13:00:25,-22.9661,-42.0278,65.37,68,100,3.69
25,Puerto Ayora,EC,2021-07-21 13:00:26,-0.7393,-90.3518,71.55,94,100,4.0
26,Mar Del Plata,AR,2021-07-21 12:48:32,-38.0023,-57.5575,54.09,64,0,1.99
27,Khandagayty,RU,2021-07-21 13:00:27,50.7333,92.05,72.7,48,0,5.03
28,Gabu,GW,2021-07-21 13:00:28,12.2833,-14.2167,85.87,69,100,6.53
29,New Norfolk,AU,2021-07-21 13:00:29,-42.7826,147.0587,49.57,72,91,3.0
30,Kungurtug,RU,2021-07-21 12:52:12,50.5994,97.5228,66.88,59,46,4.85
31,Kidal,ML,2021-07-21 12:55:49,18.4411,1.4078,94.5,32,100,20.98
32,Leningradskiy,RU,2021-07-21 13:00:30,69.3833,178.4167,35.35,83,100,2.48
33,Albany,US,2021-07-21 13:00:23,42.6001,-73.9662,69.57,90,44,7.38
34,Hobart,AU,2021-07-21 13:00:31,-42.8794,147.3294,49.91,76,75,5.01
35,Tautira,PF,2021-07-21 13:00:32,-17.7333,-149.15,77.02,80,54,18.63
36,Sidrolandia,BR,2021-07-21 13:00:33,-20.9319,-54.9614,67.1,17,1,7.52
37,Kodiak,US,2021-07-21 12:55:54,57.79,-152.4072,52.3,98,100,4.63
38,Barra Do Garcas,BR,2021-07-21 13:00:33,-15.89,-52.2567,81.66,14,2,4.25
39,Atar,MR,2021-07-21 13:00:34,20.5169,-13.0499,108.48,7,93,15.08
40,Mataura,NZ,2021-07-21 13:00:35,-46.1927,168.8643,43.48,96,100,0.78
41,Atuona,PF,2021-07-21 13:00:35,-9.8,-139.0333,77.43,69,100,20.83
42,Talnakh,RU,2021-07-21 12:56:15,69.4865,88.3972,65.55,41,8,4.05
43,Georgetown,MY,2021-07-21 13:00:18,5.4112,100.3354,86.9,67,20,6.91
44,Saskylakh,RU,2021-07-21 13:00:36,71.9167,114.0833,61.0,57,100,17.98
45,Tessalit,ML,2021-07-21 13:00:37,20.1986,1.0114,102.69,24,82,24.81
46,Biak,ID,2021-07-21 13:00:37,-0.9131,122.8766,75.06,90,100,7.7
47,Uva,RU,2021-07-21 13:00:38,56.9908,52.1852,79.47,55,100,4.61
48,Lithakia,GR,2021-07-21 13:00:39,37.7167,20.8333,87.17,68,0,12.88
49,Mopipi,BW,2021-07-21 13:00:39,-21.1833,24.8833,75.99,14,0,6.13
50,Punta Arenas,CL,2021-07-21 12:57:21,-53.15,-70.9167,30.22,93,75,4.61
51,Sungaipenuh,ID,2021-07-21 13:00:40,-2.0833,101.3833,64.26,96,16,0.89
52,Vaini,TO,2021-07-21 13:00:41,-21.2,-175.2,75.45,76,6,17.38
53,Meulaboh,ID,2021-07-21 13:00:42,4.1363,96.1285,78.71,84,100,3.8
54,Mattru,SL,2021-07-21 13:00:42,7.6244,-11.8332,82.06,72,100,5.66
55,Ostrogozhsk,RU,2021-07-21 13:00:43,50.8664,39.0756,88.75,42,87,7.29
56,Plettenberg Bay,ZA,2021-07-21 13:00:43,-34.0527,23.3716,56.66,58,31,21.18
57,Hamilton,US,2021-07-21 12:58:58,39.1834,-84.5333,72.09,90,74,3.0
58,Arman,RU,2021-07-21 13:00:44,59.7,150.1667,53.22,94,100,4.76
59,Nelson Bay,AU,2021-07-21 13:00:44,-32.7167,152.15,52.0,61,100,16.51
60,Ushuaia,AR,2021-07-21 13:00:21,-54.8,-68.3,28.24,76,15,4.99
61,Nanortalik,GL,2021-07-21 13:00:45,60.1432,-45.2371,46.42,96,100,12.12
62,Humaita,BR,2021-07-21 13:00:46,-7.5061,-63.0208,80.17,47,0,3.87
63,Bengkulu,ID,2021-07-21 13:00:46,-3.8004,102.2655,79.12,83,100,1.05
64,Sucua,EC,2021-07-21 12:59:16,-2.4667,-78.1667,68.13,92,72,0.96
65,Mount Isa,AU,2021-07-21 12:51:59,-20.7333,139.5,60.57,36,100,8.05
66,Alice Springs,AU,2021-07-21 13:00:47,-23.7,133.8833,56.75,44,31,8.05
67,Madang,PG,2021-07-21 13:00:48,-5.2246,145.7966,78.73,90,100,5.97
68,Ola,RU,2021-07-21 13:00:48,59.5833,151.2833,52.65,95,100,5.66
69,Nikolskoye,RU,2021-07-21 12:51:39,59.7035,30.7861,67.89,41,89,5.88
70,Hasaki,JP,2021-07-21 13:00:49,35.7333,140.8333,75.6,83,7,6.98
71,Launceston,AU,2021-07-21 13:00:49,-41.45,147.1667,45.16,90,60,3.0
72,Ilulissat,GL,2021-07-21 13:00:50,69.2167,-51.1,48.22,66,40,6.91
73,Saint George,US,2021-07-21 12:57:17,37.1041,-113.5841,83.62,51,72,1.01
74,Hermanus,ZA,2021-07-21 13:00:51,-34.4187,19.2345,53.91,68,100,29.01
75,Kahului,US,2021-07-21 13:00:52,20.8947,-156.47,73.98,97,100,9.71
76,Ponta Do Sol,PT,2021-07-21 13:00:52,32.6667,-17.1,79.72,66,0,1.1
77,Witbank,ZA,2021-07-21 13:00:53,-25.8713,29.2332,62.17,21,5,15.68
78,Kuytun,RU,2021-07-21 13:00:53,54.3419,101.5036,69.69,73,0,5.17
79,Eyl,SO,2021-07-21 13:00:54,7.9803,49.8164,89.26,47,100,25.23
80,Bozoum,CF,2021-07-21 13:00:55,6.3193,16.3799,86.02,51,68,4.59
81,Sinnamary,GF,2021-07-21 13:00:55,5.3833,-52.95,82.67,75,28,7.92
82,Sangar,RU,2021-07-21 12:51:58,63.9242,127.4739,60.93,69,34,8.99
83,Verkhnevilyuysk,RU,2021-07-21 13:00:56,63.4453,120.3167,63.39,71,63,3.33
84,Bluff,NZ,2021-07-21 13:00:56,-46.6,168.3333,43.81,89,100,9.01
85,Poum,NC,2021-07-21 13:00:57,-20.2333,164.0167,71.17,67,23,10.89
86,Vao,NC,2021-07-21 12:52:00,-22.6667,167.4833,68.92,74,100,13.51
87,Prince Rupert,CA,2021-07-21 12:57:20,54.3161,-130.3201,56.89,91,90,3.44
88,Faanui,PF,2021-07-21 13:00:58,-16.4833,-151.75,78.94,77,18,20.42
89,Tocache,PE,2021-07-21 13:00:58,-8.1842,-76.5125,67.39,92,85,0.83
90,Qasigiannguit,GL,2021-07-21 13:00:59,68.8193,-51.1922,48.45,84,98,4.63
91,Ortakoy,TR,2021-07-21 13:01:00,38.7373,34.0387,91.65,21,14,15.28
92,Agramonte,CU,2021-07-21 13:01:00,22.6786,-81.1156,80.56,80,4,3.74
93,Saldanha,ZA,2021-07-21 13:01:00,-33.0117,17.9442,55.85,71,78,25.39
94,Kalmunai,LK,2021-07-21 13:01:01,7.4167,81.8167,86.52,58,100,1.74
95,Sergeyevka,KZ,2021-07-21 13:01:02,53.88,67.4158,81.37,43,15,7.18
96,Atikokan,CA,2021-07-21 13:01:03,48.7555,-91.6216,60.94,43,100,5.26
97,Saint-Philippe,RE,2021-07-21 13:01:03,-21.3585,55.7679,76.55,83,12,14.7
